规格,型号,温度,类型,电流,属性,链接
温控开关 KSD301常闭10A 180度（1个）,KSD301,180,常闭,10A,平脚活动环,https://detail.tmall.com/item.htm?id=566103143320&skuId=3756750459296
温控开关 KSD301常闭10A 125度（1个）,KSD301,125,常闭,10A,平脚活动环,https://detail.tmall.com/item.htm?id=566103143320&skuId=5038321346383
温控开关 KSD301常闭10A 95度（1个）,KSD301,95,常闭,10A,平脚活动环,https://detail.tmall.com/item.htm?id=566103143320&skuId=5038321346382
温控开关 KSD301常闭10A 100度（1个）,KSD301,100,常闭,10A,平脚活动环,https://detail.tmall.com/item.htm?id=566103143320&skuId=3756750459309
温控开关 KSD301常闭10A 85度（1个）,KSD301,85,常闭,10A,平脚活动环,https://detail.tmall.com/item.htm?id=566103143320&skuId=5038321346384
温控开关 KSD301常闭10A 80度（1个）,KSD301,80,常闭,10A,平脚活动环,https://detail.tmall.com/item.htm?id=566103143320&skuId=3756750459310
温控开关 KSD301常闭10A 105度（1个）,KSD301,105,常闭,10A,平脚活动环,https://detail.tmall.com/item.htm?id=566103143320&skuId=5038321346385
温控开关 KSD301常闭10A 90度（1个）,KSD301,90,常闭,10A,平脚活动环,https://detail.tmall.com/item.htm?id=566103143320&skuId=3756750459306
温控开关 KSD301常闭10A 120度（1个）,KSD301,120,常闭,10A,平脚活动环,https://detail.tmall.com/item.htm?id=566103143320&skuId=3756750459302
温控开关 KSD301常闭10A 130度（1个）,KSD301,130,常闭,10A,平脚活动环,https://detail.tmall.com/item.htm?id=566103143320&skuId=3756750459308
温控开关 KSD301常闭10A 40度（1个）,KSD301,40,常闭,10A,平脚活动环,https://detail.tmall.com/item.htm?id=566103143320&skuId=3756750459299
温控开关 KSD301常闭10A 45度（1个）,KSD301,45,常闭,10A,平脚活动环,https://detail.tmall.com/item.htm?id=566103143320&skuId=5054219726918
温控开关 KSD301常闭10A 50度（1个）,KSD301,50,常闭,10A,平脚活动环,https://detail.tmall.com/item.htm?id=566103143320&skuId=3813293807678
温控开关 KSD301常闭10A 55度（1个）,KSD301,55,常闭,10A,平脚活动环,https://detail.tmall.com/item.htm?id=566103143320&skuId=5054219726919
温控开关 KSD301常闭10A 60度（1个）,KSD301,60,常闭,10A,平脚活动环,https://detail.tmall.com/item.htm?id=566103143320&skuId=3756750459313
温控开关 KSD301常闭10A 65度（1个）,KSD301,65,常闭,10A,平脚活动环,https://detail.tmall.com/item.htm?id=566103143320&skuId=5038321346386
温控开关 KSD301常闭10A 70度（1个）,KSD301,70,常闭,10A,平脚活动环,https://detail.tmall.com/item.htm?id=566103143320&skuId=5793552298119
温控开关 KSD301常闭10A 75度（1个）,KSD301,75,常闭,10A,平脚活动环,https://detail.tmall.com/item.htm?id=566103143320&skuId=5054219726920
温控开关 KSD301常闭10A 110度（1个）,KSD301,110,常闭,10A,平脚活动环,https://detail.tmall.com/item.htm?id=566103143320&skuId=3756750459298
温控开关 KSD301常闭10A 115度（1个）,KSD301,115,常闭,10A,平脚活动环,https://detail.tmall.com/item.htm?id=566103143320&skuId=4865124240593
温控开关 KSD301常闭10A 135度（1个）,KSD301,135,常闭,10A,平脚活动环,https://detail.tmall.com/item.htm?id=566103143320&skuId=4865124240594
温控开关 KSD301常闭10A 140度（1个）,KSD301,140,常闭,10A,平脚活动环,https://detail.tmall.com/item.htm?id=566103143320&skuId=3756750459304
温控开关 KSD301常闭10A 145度（1个）,KSD301,145,常闭,10A,平脚活动环,https://detail.tmall.com/item.htm?id=566103143320&skuId=5054219726921
温控开关 KSD301常闭10A 150度（1个）,KSD301,150,常闭,10A,平脚活动环,https://detail.tmall.com/item.htm?id=566103143320&skuId=5054219726922
温控开关 KSD301常闭10A 155度（1个）,KSD301,155,常闭,10A,平脚活动环,https://detail.tmall.com/item.htm?id=566103143320&skuId=5054219726923
温控开关 KSD301常闭10A 160度（1个）,KSD301,160,常闭,10A,平脚活动环,https://detail.tmall.com/item.htm?id=566103143320&skuId=3813293807677
温控开关 KSD301常闭10A 190度（1个）,KSD301,190,常闭,10A,平脚活动环,https://detail.tmall.com/item.htm?id=566103143320&skuId=4907657613945
温控开关 KSD301常开10A 40度（1个）,KSD301,40,常开,10A,平脚活动环,https://detail.tmall.com/item.htm?id=566103143320&skuId=3746173232853
温控开关 KSD301常开10A 45度（1个）,KSD301,45,常开,10A,平脚活动环,https://detail.tmall.com/item.htm?id=566103143320&skuId=5054219726924
温控开关 KSD301常开10A 50度（1个）,KSD301,50,常开,10A,平脚活动环,https://detail.tmall.com/item.htm?id=566103143320&skuId=3746173232824
温控开关 KSD301常开10A 55度（1个）,KSD301,55,常开,10A,平脚活动环,https://detail.tmall.com/item.htm?id=566103143320&skuId=5054219726925
温控开关 KSD301常开10A 60度（1个）,KSD301,60,常开,10A,平脚活动环,https://detail.tmall.com/item.htm?id=566103143320&skuId=5054219726917
温控开关 KSD301常开10A 65度（1个）,KSD301,65,常开,10A,平脚活动环,https://detail.tmall.com/item.htm?id=566103143320&skuId=4881163808681
温控开关 KSD301常开10A 70度（1个）,KSD301,70,常开,10A,平脚活动环,https://detail.tmall.com/item.htm?id=566103143320&skuId=5054219726914
温控开关 KSD301常开10A 75度（1个）,KSD301,75,常开,10A,平脚活动环,https://detail.tmall.com/item.htm?id=566103143320&skuId=4881163808682
温控开关 KSD301常开10A 80度（1个）,KSD301,80,常开,10A,平脚活动环,https://detail.tmall.com/item.htm?id=566103143320&skuId=3746173232846
温控开关 KSD301常开10A 85度（1个）,KSD301,85,常开,10A,平脚活动环,https://detail.tmall.com/item.htm?id=566103143320&skuId=5054219726926
温控开关 KSD301常开10A 90度（1个）,KSD301,90,常开,10A,平脚活动环,https://detail.tmall.com/item.htm?id=566103143320&skuId=4881163808683
温控开关 KSD301常开10A 95度（1个）,KSD301,95,常开,10A,平脚活动环,https://detail.tmall.com/item.htm?id=566103143320&skuId=4881163808684
温控开关 KSD301常开10A 100度（1个）,KSD301,100,常开,10A,平脚活动环,https://detail.tmall.com/item.htm?id=566103143320&skuId=3746173232843
温控开关 KSD301常开10A 105度（1个）,KSD301,105,常开,10A,平脚活动环,https://detail.tmall.com/item.htm?id=566103143320&skuId=4881163808685
温控开关 KSD301常开10A 110度（1个）,KSD301,110,常开,10A,平脚活动环,https://detail.tmall.com/item.htm?id=566103143320&skuId=4881163808679
温控开关 KSD301常开10A 115度（1个）,KSD301,115,常开,10A,平脚活动环,https://detail.tmall.com/item.htm?id=566103143320&skuId=4881163808686
温控开关 KSD301常开10A 120度（1个）,KSD301,120,常开,10A,平脚活动环,https://detail.tmall.com/item.htm?id=566103143320&skuId=4881163808680
温控开关 KSD301常开10A 125度（1个）,KSD301,125,常开,10A,平脚活动环,https://detail.tmall.com/item.htm?id=566103143320&skuId=4881163808687
温控开关 KSD301常开10A 130度（1个）,KSD301,130,常开,10A,平脚活动环,https://detail.tmall.com/item.htm?id=566103143320&skuId=4881163808688
温控开关 KSD301常开10A 135度（1个）,KSD301,135,常开,10A,平脚活动环,https://detail.tmall.com/item.htm?id=566103143320&skuId=4881163808689
温控开关 KSD301常开10A 140度（1个）,KSD301,140,常开,10A,平脚活动环,https://detail.tmall.com/item.htm?id=566103143320&skuId=4881163808690
温控开关 KSD301常开10A 145度（1个）,KSD301,145,常开,10A,平脚活动环,https://detail.tmall.com/item.htm?id=566103143320&skuId=4881163808691
温控开关 KSD301常开10A 150度（1个）,KSD301,150,常开,10A,平脚活动环,https://detail.tmall.com/item.htm?id=566103143320&skuId=3746173232808
温控开关 KSD301常开10A 190度（1个）,KSD301,190,常开,10A,平脚活动环,https://detail.tmall.com/item.htm?id=566103143320&skuId=5054219726927
温控开关 KSD301常开10A 70度弯脚（1个）,KSD301,70,常开,10A,弯脚活动环,https://detail.tmall.com/item.htm?id=566103143320&skuId=5054219726928
温控开关 KSD302常闭16A 40度（1个）,KSD302,40,常闭,16A,弯脚固定环,https://detail.tmall.com/item.htm?id=566103143320&skuId=5054219726912
温控开关 KSD302常闭16A 45度（1个）,KSD302,45,常闭,16A,弯脚固定环,https://detail.tmall.com/item.htm?id=566103143320&skuId=5054219726931
温控开关 KSD302常闭16A 50度（1个）,KSD302,50,常闭,16A,弯脚固定环,https://detail.tmall.com/item.htm?id=566103143320&skuId=5054219726913
温控开关 KSD302常闭16A 55度（1个）,KSD302,55,常闭,16A,弯脚固定环,https://detail.tmall.com/item.htm?id=566103143320&skuId=5054219726932
温控开关 KSD302常闭16A 60度（1个）,KSD302,60,常闭,16A,弯脚固定环,https://detail.tmall.com/item.htm?id=566103143320&skuId=3746173232828
温控开关 KSD302 常闭16A 65度（1个）,KSD302,65,常闭,16A,弯脚固定环,https://detail.tmall.com/item.htm?id=566103143320&skuId=5054219726933
温控开关 KSD302常闭16A 70度（1个）,KSD302,70,常闭,16A,弯脚固定环,https://detail.tmall.com/item.htm?id=566103143320&skuId=5054219726934
温控开关 KSD302常闭16A 75度（1个）,KSD302,75,常闭,16A,弯脚固定环,https://detail.tmall.com/item.htm?id=566103143320&skuId=5054219726935
温控开关 KSD302常闭16A 80度（1个）,KSD302,80,常闭,16A,弯脚固定环,https://detail.tmall.com/item.htm?id=566103143320&skuId=5793552298120
温控开关 KSD302常闭16A 85度（1个）,KSD302,85,常闭,16A,弯脚固定环,https://detail.tmall.com/item.htm?id=566103143320&skuId=5054219726936
温控开关 KSD302常闭16A 90度（1个）,KSD302,90,常闭,16A,弯脚固定环,https://detail.tmall.com/item.htm?id=566103143320&skuId=5054219726937
温控开关 KSD302常闭16A 95度（1个）,KSD302,95,常闭,16A,弯脚固定环,https://detail.tmall.com/item.htm?id=566103143320&skuId=5054219726938
温控开关 KSD302常闭16A 100度（1个）,KSD302,100,常闭,16A,弯脚固定环,https://detail.tmall.com/item.htm?id=566103143320&skuId=5054219726939
温控开关 KSD302常闭16A 110度（1个）,KSD302,110,常闭,16A,弯脚固定环,https://detail.tmall.com/item.htm?id=566103143320&skuId=3746173232835
温控开关 KSD302常闭16A 120度（1个）,KSD302,120,常闭,16A,弯脚固定环,https://detail.tmall.com/item.htm?id=566103143320&skuId=3746173232806
温控开关 KSD302常闭16A 125度（1个）,KSD302,125,常闭,16A,弯脚固定环,https://detail.tmall.com/item.htm?id=566103143320&skuId=5054219726940
温控开关 KSD302常闭16A 130度（1个）,KSD302,130,常闭,16A,弯脚固定环,https://detail.tmall.com/item.htm?id=566103143320&skuId=3746173232837
温控开关 KSD302常闭16A 140度（1个）,KSD302,140,常闭,16A,弯脚固定环,https://detail.tmall.com/item.htm?id=566103143320&skuId=5054219726941
温控开关 KSD302常闭16A 150度（1个）,KSD302,150,常闭,16A,弯脚固定环,https://detail.tmall.com/item.htm?id=566103143320&skuId=5793552298121
温控开关 KSD302常闭16A 160度（1个）,KSD302,160,常闭,16A,弯脚固定环,https://detail.tmall.com/item.htm?id=566103143320&skuId=5054219726915
温控开关 KSD302常闭16A 170度（1个）,KSD302,170,常闭,16A,弯脚固定环,https://detail.tmall.com/item.htm?id=566103143320&skuId=5054219726942
温控开关 KSD302常闭16A 180度（1个）,KSD302,180,常闭,16A,弯脚固定环,https://detail.tmall.com/item.htm?id=566103143320&skuId=3746173232804
温控开关 KSD302常开16A 40度（1个）,KSD302,40,常开,16A,弯脚固定环,https://detail.tmall.com/item.htm?id=566103143320&skuId=5054219726916
温控开关 KSD302常开16A 45度（1个）,KSD302,45,常开,16A,弯脚固定环,https://detail.tmall.com/item.htm?id=566103143320&skuId=5054219726943
温控开关 KSD302常开16A 50度（1个）,KSD302,50,常开,16A,弯脚固定环,https://detail.tmall.com/item.htm?id=566103143320&skuId=5054219726944
温控开关 KSD302常开16A 55度（1个）,KSD302,55,常开,16A,弯脚固定环,https://detail.tmall.com/item.htm?id=566103143320&skuId=5054219726945
温控开关 KSD302常开16A 60度（1个）,KSD302,60,常开,16A,弯脚固定环,https://detail.tmall.com/item.htm?id=566103143320&skuId=5054219726946
温控开关 KSD302常开16A 65度（1个）,KSD302,65,常开,16A,弯脚固定环,https://detail.tmall.com/item.htm?id=566103143320&skuId=5054219726947
温控开关 KSD302常开16A 70度（1个）,KSD302,70,常开,16A,弯脚固定环,https://detail.tmall.com/item.htm?id=566103143320&skuId=5054219726948
温控开关 KSD302常开16A 75度（1个）,KSD302,75,常开,16A,弯脚固定环,https://detail.tmall.com/item.htm?id=566103143320&skuId=5054219726949
温控开关 KSD302常开16A  80度（1个）,KSD302,80,常开,16A,弯脚固定环,https://detail.tmall.com/item.htm?id=566103143320&skuId=5054219726950
温控开关 KSD302常开16A  85度（1个）,KSD302,85,常开,16A,弯脚固定环,https://detail.tmall.com/item.htm?id=566103143320&skuId=5054219726951
温控开关 KSD302常开16A  90度（1个）,KSD302,90,常开,16A,弯脚固定环,https://detail.tmall.com/item.htm?id=566103143320&skuId=5054219726952
40度 16A 常闭 平脚固定环 KSD302（1个）,KSD302,40,常闭,16A,平脚固定环,https://detail.tmall.com/item.htm?id=566103143320&skuId=5184842551881
45度 16A 常闭 平脚固定环 KSD302（1个）,KSD302,45,常闭,16A,平脚固定环,https://detail.tmall.com/item.htm?id=566103143320&skuId=5184842551882
50度 16A 常闭 平脚固定环 KSD302（1个）,KSD302,50,常闭,16A,平脚固定环,https://detail.tmall.com/item.htm?id=566103143320&skuId=5184842551883
55度 16A 常闭 平脚固定环 KSD302（1个）,KSD302,55,常闭,16A,平脚固定环,https://detail.tmall.com/item.htm?id=566103143320&skuId=5184842551884
60度 16A 常闭 平脚固定环 KSD302（1个）,KSD302,60,常闭,16A,平脚固定环,https://detail.tmall.com/item.htm?id=566103143320&skuId=5184842551885
65度 16A 常闭 平脚固定环 KSD302（1个）,KSD302,65,常闭,16A,平脚固定环,https://detail.tmall.com/item.htm?id=566103143320&skuId=5184842551886
70度 16A 常闭 平脚固定环 KSD302（1个）,KSD302,70,常闭,16A,平脚固定环,https://detail.tmall.com/item.htm?id=566103143320&skuId=5184842551887
75度 16A 常闭 平脚固定环 KSD302（1个）,KSD302,75,常闭,16A,平脚固定环,https://detail.tmall.com/item.htm?id=566103143320&skuId=5184842551888
80度 16A 常闭 平脚固定环 KSD302（1个）,KSD302,80,常闭,16A,平脚固定环,https://detail.tmall.com/item.htm?id=566103143320&skuId=5184842551889
85度 16A 常闭 平脚固定环 KSD302（1个）,KSD302,85,常闭,16A,平脚固定环,https://detail.tmall.com/item.htm?id=566103143320&skuId=5184842551890
90度 16A 常闭 平脚固定环 KSD302（1个）,KSD302,90,常闭,16A,平脚固定环,https://detail.tmall.com/item.htm?id=566103143320&skuId=5184842551891
95度 16A 常闭 平脚固定环 KSD302（1个）,KSD302,95,常闭,16A,平脚固定环,https://detail.tmall.com/item.htm?id=566103143320&skuId=5184842551892
100度 16A 常闭 平脚固定环 KSD302（1个）,KSD302,100,常闭,16A,平脚固定环,https://detail.tmall.com/item.htm?id=566103143320&skuId=5184842551893
105度 16A 常闭 平脚固定环 KSD302（1个）,KSD302,105,常闭,16A,平脚固定环,https://detail.tmall.com/item.htm?id=566103143320&skuId=5184842551894
110度 16A 常闭 平脚固定环 KSD302（1个）,KSD302,110,常闭,16A,平脚固定环,https://detail.tmall.com/item.htm?id=566103143320&skuId=5184842551895
115度 16A 常闭 平脚固定环 KSD302（1个）,KSD302,115,常闭,16A,平脚固定环,https://detail.tmall.com/item.htm?id=566103143320&skuId=5184842551896
120度 16A 常闭 平脚固定环 KSD302（1个）,KSD302,120,常闭,16A,平脚固定环,https://detail.tmall.com/item.htm?id=566103143320&skuId=5184842551897
125度 16A 常闭 平脚固定环 KSD302（1个）,KSD302,125,常闭,16A,平脚固定环,https://detail.tmall.com/item.htm?id=566103143320&skuId=5184842551898
130度 16A 常闭 平脚固定环 KSD302（1个）,KSD302,130,常闭,16A,平脚固定环,https://detail.tmall.com/item.htm?id=566103143320&skuId=5184842551899
140度 16A 常闭 平脚固定环 KSD302（1个）,KSD302,140,常闭,16A,平脚固定环,https://detail.tmall.com/item.htm?id=566103143320&skuId=5184842551900
150度 16A 常闭 平脚固定环 KSD302（1个）,KSD302,150,常闭,16A,平脚固定环,https://detail.tmall.com/item.htm?id=566103143320&skuId=5184842551901
KSD301常闭 85度弯脚 10A（活动环）(1个),KSD301,85,常闭,10A,弯脚活动环,https://detail.tmall.com/item.htm?id=566103143320&skuId=5654176320294
KSD301常闭 95度弯脚 10A（固定环）(1个),KSD301,95,常闭,10A,弯脚固定环,https://detail.tmall.com/item.htm?id=566103143320&skuId=5654176320295
